Feature,Readmitted_Mean,Not_Readmitted_Mean,P_Value,Significant
days_to_readmit,22.5,70.14285714285714,0.039383558046552046,True
age,74.5,72.13821138211382,0.7759186554465426,False
died_within_30d,0.0,0.0,,False
has_hypertension,0.0,0.6016260162601627,0.08472167684434165,False
has_diabetes,0.5,0.6951219512195121,0.5529573262719926,False
has_cad,0.5,0.6910569105691057,0.5626811524088922,False
has_copd,1.0,0.6544715447154471,0.3071153854829614,False
has_ckd,0.0,0.5528455284552846,0.11860191352347223,False
has_afib,0.0,0.6382113821138211,0.06256954630865884,False
has_obesity,0.0,0.5528455284552846,0.11860191352347223,False
has_anemia,0.5,0.6219512195121951,0.7246054548184965,False
total_diagnoses,3.5,6.280487804878049,0.05800181415937235,False
last_bnp,177.01999999999998,3597.2187398373985,0.16495095659267464,False
last_sodium,137.41500000000002,139.78727642276422,0.33478912611474104,False
last_creatinine,1.565,1.623861788617886,0.9074905312552942,False
last_hemoglobin,11.065,13.391829268292682,0.09226416011532668,False
hf_med_count,1.5,1.397489539748954,0.8707422533518702,False
max_refill_count,0.5,2.1589958158995817,0.02280418901035222,True
total_meds,2.5,2.573221757322176,0.9429351882365065,False
prior_admissions_6m,0.0,0.23170731707317074,0.49380518600519546,False
prior_ed_visits_30d,0.0,0.0,,False
length_of_stay,1.0,4.361788617886178,0.27022054476372676,False
weekend_discharge,0.5,0.2926829268292683,0.5236433124803159,False
comorbidity_score,2.5,5.008130081300813,0.07232338587907657,False
